ID_GAME;GAME;ID_PLATFORM;YEAR_RELEASE;GENRE;ID_PUBLISHER;PUBLISHER;NA_SALES;EU_SALES;JP_SALES;OTHER_SALES;GLOBAL_SALES;CRITIC_SCORE;CRITIC_COUNT;USER_SCORE;USER_COUNT;ID_DEVELOPER;DEVELOPER;RATING
grandtheftautosanandreas;Grand Theft Auto: San Andreas;PS2;01/01/2004;Action;taketwointeractive;Take-Two Interactive;9430000;400000;410000;10570000;20810000;95;80;9;1588;rockstarnorth;Rockstar North;M
supermarioworld;Super Mario World;SNES;01/01/1990;Platform;nintendo;Nintendo;12780000;3750000;3540000;550000;20610000;;;;;;;
brainagetrainyourbraininminutesaday;Brain Age: Train Your Brain in Minutes a Day;DS;01/01/2005;Misc;nintendo;Nintendo;4740000;9200000;4160000;2040000;20150000;77;58;7.9;50;nintendo;Nintendo;E
pokemondiamondpokemonpearl;Pokemon Diamond/Pokemon Pearl;DS;01/01/2006;Role-Playing;nintendo;Nintendo;6380000;4460000;6040000;1360000;18250000;;;;;;;
supermarioland;Super Mario Land;GB;01/01/1989;Platform;nintendo;Nintendo;10830000;2710000;4180000;420000;18140000;;;;;;;
supermariobros3;Super Mario Bros. 3;NES;01/01/1988;Platform;nintendo;Nintendo;9540000;3440000;3840000;460000;17280000;;;;;;;
grandtheftautov;Grand Theft Auto V;X360;01/01/2013;Action;taketwointeractive;Take-Two Interactive;9660000;5140000;60000;1410000;16270000;97;58;8.1;3711;rockstarnorth;Rockstar North;M
grandtheftautovicecity;Grand Theft Auto: Vice City;PS2;01/01/2002;Action;taketwointeractive;Take-Two Interactive;8410000;5490000;470000;1780000;16150000;95;62;8.7;730;rockstarnorth;Rockstar North;M
pokemonrubypokemonsapphire;Pokemon Ruby/Pokemon Sapphire;GBA;01/01/2002;Role-Playing;nintendo;Nintendo;6060000;3900000;5380000;500000;15850000;;;;;;;
brainage2moretraininginminutesaday;Brain Age 2: More Training in Minutes a Day;DS;01/01/2005;Puzzle;nintendo;Nintendo;3430000;5350000;5320000;1180000;15290000;77;37;7.1;19;nintendo;Nintendo;E
pokemonblackpokemonwhite;Pokemon Black/Pokemon White;DS;01/01/2010;Role-Playing;nintendo;Nintendo;5510000;3170000;5650000;800000;15140000;;;;;;;
granturismo3aspec;Gran Turismo 3: A-Spec;PS2;01/01/2001;Racing;sonycomputerentertainment;Sony Computer Entertainment;6850000;5090000;1870000;1160000;14980000;95;54;8.4;314;polyphonydigital;Polyphony Digital;E
callofdutymodernwarfare3;Call of Duty: Modern Warfare 3;X360;01/01/2011;Shooter;activision;Activision;9040000;4240000;130000;1320000;14730000;88;81;3.4;8713;infinitywardsledgehammergames;Infinity Ward, Sledgehammer Games;M
pokmonyellowspecialpikachuedition;Pokémon Yellow: Special Pikachu Edition;GB;01/01/1998;Role-Playing;nintendo;Nintendo;5890000;5040000;3120000;590000;14640000;;;;;;;
callofdutyblackops3;Call of Duty: Black Ops 3;PS4;01/01/2015;Shooter;activision;Activision;6030000;5860000;360000;2380000;14630000;;;;;;;
callofdutyblackops;Call of Duty: Black Ops;X360;01/01/2010;Shooter;activision;Activision;9700000;3680000;110000;1130000;14610000;87;89;6.3;1454;treyarch;Treyarch;M
pokemonxpokemony;Pokemon X/Pokemon Y;3DS;01/01/2013;Role-Playing;nintendo;Nintendo;5280000;4190000;4350000;780000;14600000;;;;;;;
callofdutyblackopsii;Call of Duty: Black Ops II;PS3;01/01/2012;Shooter;activision;Activision;4990000;5730000;650000;2420000;13790000;83;21;5.3;922;treyarch;Treyarch;M
callofdutyblackopsii;Call of Duty: Black Ops II;X360;01/01/2012;Shooter;activision;Activision;8250000;4240000;70000;1120000;13670000;83;73;4.8;2256;treyarch;Treyarch;M
callofdutymodernwarfare2;Call of Duty: Modern Warfare 2;X360;01/01/2009;Shooter;activision;Activision;8520000;3590000;80000;1280000;13470000;94;100;6.3;2698;infinityward;Infinity Ward;M
callofdutymodernwarfare3;Call of Duty: Modern Warfare 3;PS3;01/01/2011;Shooter;activision;Activision;5540000;5730000;490000;1570000;13320000;88;39;3.2;5234;infinitywardsledgehammergames;Infinity Ward, Sledgehammer Games;M
grandtheftautoiii;Grand Theft Auto III;PS2;01/01/2001;Action;taketwointeractive;Take-Two Interactive;6990000;4510000;300000;1300000;13100000;97;56;8.5;664;dmadesign;DMA Design;M
supersmashbrosbrawl;Super Smash Bros. Brawl;Wii;01/01/2008;Fighting;nintendo;Nintendo;6620000;2550000;2660000;1010000;12840000;93;81;8.9;1662;gamearts;Game Arts;T
mariokart7;Mario Kart 7;3DS;01/01/2011;Racing;nintendo;Nintendo;5030000;4020000;2690000;910000;12660000;85;73;8.2;632;retrostudiosentertainmentanalysisdevelopmentdivision;Retro Studios, Entertainment Analysis & Development Division;E
callofdutyblackops;Call of Duty: Black Ops;PS3;01/01/2010;Shooter;activision;Activision;5990000;4370000;480000;1790000;12630000;88;58;6.4;1094;treyarch;Treyarch;M
grandtheftautov;Grand Theft Auto V;PS4;01/01/2014;Action;taketwointeractive;Take-Two Interactive;3960000;6310000;380000;1970000;12610000;97;66;8.3;2899;rockstarnorth;Rockstar North;M
animalcrossingwildworld;Animal Crossing: Wild World;DS;01/01/2005;Simulation;nintendo;Nintendo;2500000;3450000;5330000;860000;12130000;86;57;8.7;242;nintendo;Nintendo;E
halo3;Halo 3;X360;01/01/2007;Shooter;microsoftgamestudios;Microsoft Game Studios;7970000;2810000;130000;1210000;12120000;94;86;7.8;4100;bungiesoftwarebungie;Bungie Software, Bungie;M
supermario64;Super Mario 64;N64;01/01/1996;Platform;nintendo;Nintendo;6910000;2850000;1910000;230000;11890000;;;;;;;
pokemonheartgoldpokemonsoulsilver;Pokemon HeartGold/Pokemon SoulSilver;DS;01/01/2009;Action;nintendo;Nintendo;4340000;2710000;3960000;760000;11770000;;;;;;;
pokemonomegarubypokemonalphasapphire;Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;01/01/2014;Role-Playing;nintendo;Nintendo;4350000;3490000;3100000;740000;11680000;;;;;;;
granturismo4;Gran Turismo 4;PS2;01/01/2004;Racing;sonycomputerentertainment;Sony Computer Entertainment;3010000;10000;1100000;7530000;11660000;89;74;8.5;272;polyphonydigital;Polyphony Digital;E
supermariogalaxy;Super Mario Galaxy;Wii;01/01/2007;Platform;nintendo;Nintendo;6060000;3350000;1200000;740000;11350000;97;73;8.9;2147;nintendo;Nintendo;E
supermarioland26goldencoins;Super Mario Land 2: 6 Golden Coins;GB;01/01/1992;Adventure;nintendo;Nintendo;6160000;2040000;2690000;290000;11180000;;;;;;;
grandtheftautoiv;Grand Theft Auto IV;X360;01/01/2008;Action;taketwointeractive;Take-Two Interactive;6760000;3070000;140000;1030000;11010000;98;86;7.9;2951;rockstarnorth;Rockstar North;M
granturismo;Gran Turismo;PS;01/01/1997;Racing;sonycomputerentertainment;Sony Computer Entertainment;4020000;3870000;2540000;520000;10950000;96;16;8.7;138;polyphonydigital;Polyphony Digital;E
supermario3dland;Super Mario 3D Land;3DS;01/01/2011;Platform;nintendo;Nintendo;4890000;3000000;2140000;780000;10810000;90;82;8.4;921;nintendo;Nintendo;E
granturismo5;Gran Turismo 5;PS3;01/01/2010;Racing;sonycomputerentertainment;Sony Computer Entertainment;2960000;4820000;810000;2110000;10700000;84;82;7.5;1112;polyphonydigital;Polyphony Digital;E
callofdutymodernwarfare2;Call of Duty: Modern Warfare 2;PS3;01/01/2009;Shooter;activision;Activision;4990000;3640000;380000;1600000;10600000;94;67;6.3;2073;infinityward;Infinity Ward;M
supermarioallstars;Super Mario All-Stars;SNES;01/01/1993;Platform;nintendo;Nintendo;5990000;2150000;2120000;290000;10550000;;;;;;;
grandtheftautoiv;Grand Theft Auto IV;PS3;01/01/2008;Action;taketwointeractive;Take-Two Interactive;4760000;3690000;440000;1610000;10500000;98;64;7.5;2833;rockstarnorth;Rockstar North;M
pokemonfireredpokemonleafgreen;Pokemon FireRed/Pokemon LeafGreen;GBA;01/01/2004;Role-Playing;nintendo;Nintendo;4340000;2650000;3150000;350000;10490000;;;;;;;
supermario64;Super Mario 64;DS;01/01/2004;Platform;nintendo;Nintendo;5010000;3070000;1250000;970000;10300000;;;;;;;
callofdutyghosts;Call of Duty: Ghosts;X360;01/01/2013;Shooter;activision;Activision;6730000;2560000;40000;910000;10250000;73;29;2.6;2117;infinityward;Infinity Ward;M
justdance3;Just Dance 3;Wii;01/01/2011;Misc;ubisoft;Ubisoft;5950000;3110000;0;1060000;10120000;74;15;7.8;16;ubisoft;Ubisoft;E10+
newsupermariobros2;New Super Mario Bros. 2;3DS;01/01/2012;Platform;nintendo;Nintendo;3660000;3140000;2470000;630000;9900000;78;70;7.2;424;nintendo;Nintendo;E
mariokart64;Mario Kart 64;N64;01/01/1996;Racing;nintendo;Nintendo;5550000;1940000;2230000;150000;9870000;;;;;;;
haloreach;Halo: Reach;X360;01/01/2010;Shooter;microsoftgamestudios;Microsoft Game Studios;7040000;1950000;80000;790000;9860000;91;99;7.9;2045;bungie;Bungie;M
finalfantasyvii;Final Fantasy VII;PS;01/01/1997;Role-Playing;sonycomputerentertainment;Sony Computer Entertainment;3010000;2470000;3280000;960000;9720000;92;20;9.2;1282;squaresoft;SquareSoft;T
halo4;Halo 4;X360;01/01/2012;Shooter;microsoftgamestudios;Microsoft Game Studios;6650000;2280000;40000;740000;9710000;87;87;7;3260;343industries;343 Industries;M
granturismo2;Gran Turismo 2;PS;01/01/1999;Racing;sonycomputerentertainment;Sony Computer Entertainment;3880000;3420000;1690000;500000;9490000;93;23;9;135;polyphonydigital;Polyphony Digital;T
justdance2;Just Dance 2;Wii;01/01/2010;Misc;ubisoft;Ubisoft;5800000;2850000;10000;780000;9440000;74;24;7.3;24;ubisoft;Ubisoft;E10+
callofdutyghosts;Call of Duty: Ghosts;PS3;01/01/2013;Shooter;activision;Activision;4100000;3630000;380000;1250000;9360000;71;10;2.6;1047;infinityward;Infinity Ward;M
callofduty4modernwarfare;Call of Duty 4: Modern Warfare;X360;01/01/2007;Shooter;activision;Activision;5930000;2360000;130000;900000;9310000;94;70;8.4;1320;infinityward;Infinity Ward;M
donkeykongcountry;Donkey Kong Country;SNES;01/01/1994;Platform;nintendo;Nintendo;4360000;1710000;3000000;230000;9300000;;;;;;;
minecraft;Minecraft;X360;01/01/2013;Misc;microsoftgamestudios;Microsoft Game Studios;5700000;2650000;20000;810000;9180000;;;;;;;
animalcrossingnewleaf;Animal Crossing: New Leaf;3DS;01/01/2012;Simulation;nintendo;Nintendo;2030000;2360000;4390000;390000;9160000;88;70;8.7;626;nintendo;Nintendo;E
mariopartyds;Mario Party DS;DS;01/01/2007;Misc;nintendo;Nintendo;4400000;1850000;1980000;680000;8910000;72;27;7.8;85;hudsonsoft;Hudson Soft;E
theelderscrollsvskyrim;The Elder Scrolls V: Skyrim;X360;01/01/2011;Role-Playing;bethesdasoftworks;Bethesda Softworks;5050000;2790000;100000;850000;8790000;96;89;8.4;3589;bethesdagamestudios;Bethesda Game Studios;M
supermariokart;Super Mario Kart;SNES;01/01/1992;Racing;nintendo;Nintendo;3540000;1240000;3810000;180000;8760000;;;;;;;
fifa16;FIFA 16;PS4;01/01/2015;Sports;electronicarts;Electronic Arts;1120000;6120000;60000;1280000;8570000;82;42;4.3;896;easports;EA Sports;E
halo2;Halo 2;XB;01/01/2004;Shooter;microsoftgamestudios;Microsoft Game Studios;6820000;1530000;50000;80000;8490000;95;91;8.2;1218;bungiesoftware;Bungie Software;M
wiiparty;Wii Party;Wii;01/01/2010;Misc;nintendo;Nintendo;1750000;3470000;2490000;670000;8380000;68;42;7.4;54;ndcube;Nd Cube;E
marioparty8;Mario Party 8;Wii;01/01/2007;Misc;nintendo;Nintendo;3740000;2240000;1580000;700000;8270000;62;41;6.3;190;hudson;Hudson;E
fifasoccer13;FIFA Soccer 13;PS3;01/01/2012;Action;electronicarts;Electronic Arts;1060000;5010000;130000;1970000;8160000;88;37;6.6;348;electronicarts;Electronic Arts;E
goldeneye007;GoldenEye 007;N64;01/01/1997;Shooter;nintendo;Nintendo;5800000;2010000;130000;150000;8090000;;;;;;;
pokemonblack2pokemonwhite2;Pokemon Black 2/Pokemon White 2;DS;01/01/2012;Role-Playing;nintendo;Nintendo;2790000;1720000;3140000;410000;8070000;;;;;;;
finalfantasyx;Final Fantasy X;PS2;01/01/2001;Role-Playing;sonycomputerentertainment;Sony Computer Entertainment;2910000;2070000;2730000;330000;8050000;92;53;8.7;1056;squaresoft;SquareSoft;T
thesims3;The Sims 3;PC;01/01/2009;Simulation;electronicarts;Electronic Arts;990000;6420000;0;600000;8010000;86;75;7.6;886;thesimsstudio;The Sims Studio;T
mariosonicattheolympicgames;Mario & Sonic at the Olympic Games;Wii;01/01/2007;Sports;sega;Sega;2570000;3860000;660000;910000;7990000;;;;;;;
starwarsbattlefront2015;Star Wars Battlefront (2015);PS4;01/01/2015;Shooter;electronicarts;Electronic Arts;2990000;3490000;220000;1280000;7980000;;;;;;;
finalfantasyviii;Final Fantasy VIII;PS;01/01/1999;Role-Playing;squaresoft;SquareSoft;2280000;1720000;3630000;230000;7860000;90;24;8.6;644;squaresoft;SquareSoft;T
pacman;Pac-Man;2600;01/01/1982;Puzzle;atari;Atari;7280000;450000;0;80000;7810000;;;;;;;
pokmonplatinumversion;Pokémon Platinum Version;DS;01/01/2008;Role-Playing;nintendo;Nintendo;2760000;1720000;2690000;540000;7720000;83;46;8.5;203;gamefreak;Game Freak;E
grandtheftautolibertycitystories;Grand Theft Auto: Liberty City Stories;PSP;01/01/2005;Action;taketwointeractive;Take-Two Interactive;2900000;2810000;240000;1730000;7690000;88;65;7.6;451;rockstarleeds;Rockstar Leeds;M
callofdutyadvancedwarfare;Call of Duty: Advanced Warfare;PS4;01/01/2014;Shooter;activision;Activision;2810000;3480000;140000;1230000;7660000;83;39;5.7;1443;sledgehammergames;Sledgehammer Games;M
thelegendofzeldaocarinaoftime;The Legend of Zelda: Ocarina of Time;N64;01/01/1998;Action;nintendo;Nintendo;4100000;1890000;1450000;160000;7600000;;;;;;;
fifa17;FIFA 17;PS4;01/01/2016;Sports;electronicarts;Electronic Arts;660000;5750000;80000;1110000;7590000;85;41;5;398;easportseavancouver;EA Sports, EA Vancouver;E
crashbandicoot2cortexstrikesback;Crash Bandicoot 2: Cortex Strikes Back;PS;01/01/1997;Platform;sonycomputerentertainment;Sony Computer Entertainment;3780000;2170000;1310000;310000;7580000;;;;;;;
supersmashbrosforwiiuand3ds;Super Smash Bros. for Wii U and 3DS;3DS;01/01/2014;Fighting;nintendo;Nintendo;3270000;1370000;2430000;480000;7550000;;;;;;;
supermariogalaxy2;Super Mario Galaxy 2;Wii;01/01/2010;Platform;nintendo;Nintendo;3560000;2350000;980000;620000;7510000;97;87;9.1;1854;nintendoeadtokyo;Nintendo EAD Tokyo;E
supermariobros2;Super Mario Bros. 2;NES;01/01/1988;Platform;nintendo;Nintendo;5390000;1180000;700000;190000;7460000;;;;;;;
callofdutyblackops3;Call of Duty: Black Ops 3;XOne;01/01/2015;Shooter;activision;Activision;4590000;2110000;10000;680000;7390000;;;;;;;
callofdutyworldatwar;Call of Duty: World at War;X360;01/01/2008;Shooter;activision;Activision;4810000;1880000;0;690000;7380000;84;84;7.6;580;treyarch;Treyarch;M
battlefield3;Battlefield 3;X360;01/01/2011;Shooter;electronicarts;Electronic Arts;4460000;2110000;60000;690000;7320000;84;57;7.4;2142;eadice;EA DICE;M
needforspeedunderground;Need for Speed Underground;PS2;01/01/2003;Racing;electronicarts;Electronic Arts;3270000;2830000;80000;1020000;7200000;85;33;8.6;171;eablackbox;EA Black Box;E
justdance;Just Dance;Wii;01/01/2009;Misc;ubisoft;Ubisoft;3480000;2990000;0;730000;7200000;49;21;8;110;ubisoftparis;Ubisoft Paris;E10+
battlefield3;Battlefield 3;PS3;01/01/2011;Shooter;electronicarts;Electronic Arts;2850000;2890000;350000;1080000;7170000;85;38;7.5;1761;eadice;EA DICE;M
fallout4;Fallout 4;PS4;01/01/2015;Role-Playing;bethesdasoftworks;Bethesda Softworks;2530000;3270000;240000;1130000;7160000;87;58;6.5;4228;bethesdagamestudios;Bethesda Game Studios;M
tekken3;Tekken 3;PS;01/01/1998;Fighting;sonycomputerentertainment;Sony Computer Entertainment;3270000;2220000;1400000;290000;7160000;96;15;9.1;367;namco;Namco;T
thelegendofzeldatwilightprincess;The Legend of Zelda: Twilight Princess;Wii;01/01/2006;Action;nintendo;Nintendo;3740000;2140000;600000;680000;7150000;95;73;9;1658;nintendo;Nintendo;T
pokemonsunmoon;Pokemon Sun/Moon;3DS;01/01/2016;Role-Playing;nintendo;Nintendo;2980000;1450000;2260000;450000;7140000;;;;;;;
crashbandicoot3warped;Crash Bandicoot 3: Warped;PS;01/01/1998;Platform;sonycomputerentertainment;Sony Computer Entertainment;3680000;1750000;1420000;280000;7130000;91;12;8.9;432;naughtydog;Naughty Dog;E
mariokart8;Mario Kart 8;WiiU;01/01/2014;Racing;nintendo;Nintendo;3150000;2150000;1280000;510000;7090000;88;82;9.1;1599;nintendo;Nintendo;E
supersmashbrosmelee;Super Smash Bros. Melee;GC;01/01/2001;Fighting;nintendo;Nintendo;4410000;1040000;1390000;220000;7070000;92;38;9.1;568;hallabs;HAL Labs;T
mariokartdoubledash;Mario Kart: Double Dash!!;GC;01/01/2003;Racing;nintendo;Nintendo;4120000;1770000;870000;190000;6950000;;;;;;;
needforspeedunderground2;Need for Speed Underground 2;PS2;01/01/2004;Racing;electronicarts;Electronic Arts;2710000;3020000;80000;1090000;6900000;82;39;8.6;132;eacanada;EA Canada;E
medalofhonorfrontline;Medal of Honor: Frontline;PS2;01/01/2002;Shooter;electronicarts;Electronic Arts;2930000;2750000;170000;990000;6830000;88;29;8.5;135;eala;EA LA;T
crashbandicoot;Crash Bandicoot;PS;01/01/1996;Platform;sonycomputerentertainment;Sony Computer Entertainment;3230000;2350000;940000;300000;6820000;;;;;;;
justdance4;Just Dance 4;Wii;01/01/2012;Misc;ubisoft;Ubisoft;4050000;2160000;0;550000;6760000;74;10;7.3;28;ubisoft;Ubisoft;E10+
gearsofwar2;Gears of War 2;X360;01/01/2008;Shooter;microsoftgamestudios;Microsoft Game Studios;4150000;1900000;60000;640000;6750000;93;90;7.7;2739;epicgames;Epic Games;M
uncharted3drakesdeception;Uncharted 3: Drake's Deception;PS3;01/01/2011;Action;sonycomputerentertainment;Sony Computer Entertainment;2770000;2750000;190000;1030000;6740000;92;97;8.3;3712;naughtydog;Naughty Dog;T
zumbafitness;Zumba Fitness;Wii;01/01/2010;Sports;505games;505 Games;3450000;2590000;0;660000;6710000;;;;;pipeworkssoftwareinc;Pipeworks Software, Inc.;E
callofduty4modernwarfare;Call of Duty 4: Modern Warfare;PS3;01/01/2007;Shooter;activision;Activision;3110000;2260000;280000;1030000;6680000;94;44;8.4;993;infinityward;Infinity Ward;M
uncharted2amongthieves;Uncharted 2: Among Thieves;PS3;01/01/2009;Action;sonycomputerentertainment;Sony Computer Entertainment;3270000;2200000;210000;980000;6660000;96;105;8.8;5187;naughtydog;Naughty Dog;T
fifa12;FIFA 12;PS3;01/01/2011;Sports;electronicarts;Electronic Arts;840000;4300000;110000;1390000;6650000;;;;;;;
bigbrainacademy;Big Brain Academy;DS;01/01/2005;Misc;nintendo;Nintendo;1660000;2750000;1600000;620000;6620000;74;45;7.4;27;nintendo;Nintendo;E
thelegendofzelda;The Legend of Zelda;NES;01/01/1986;Action;nintendo;Nintendo;3740000;930000;1690000;140000;6510000;;;;;;;
reddeadredemption;Red Dead Redemption;PS3;01/01/2010;Action;taketwointeractive;Take-Two Interactive;2790000;2530000;170000;990000;6490000;95;73;8.8;2456;rockstarsandiego;Rockstar San Diego;M
fifa14;FIFA 14;PS3;01/01/2013;Sports;electronicarts;Electronic Arts;780000;4240000;70000;1370000;6470000;86;37;4.3;576;eacanada;EA Canada;E
assassinscreediii;Assassin's Creed III;PS3;01/01/2012;Action;ubisoft;Ubisoft;2640000;2520000;160000;1120000;6450000;85;41;6.9;1307;ubisoft;Ubisoft;M
donkeykongcountryreturns;Donkey Kong Country Returns;Wii;01/01/2010;Platform;nintendo;Nintendo;3170000;1790000;1030000;460000;6440000;87;77;8.6;368;retrostudios;Retro Studios;E
halocombatevolved;Halo: Combat Evolved;XB;01/01/2001;Shooter;microsoftgamestudios;Microsoft Game Studios;4980000;1300000;80000;70000;6430000;97;68;8.6;1283;bungiesoftware;Bungie Software;M
theelderscrollsvskyrim;The Elder Scrolls V: Skyrim;PS3;01/01/2011;Role-Playing;bethesdasoftworks;Bethesda Softworks;2550000;2600000;250000;1000000;6410000;92;16;6.4;2527;bethesdagamestudios;Bethesda Game Studios;M
pokmonemeraldversion;Pokémon Emerald Version;GBA;01/01/2004;Role-Playing;nintendo;Nintendo;2570000;1580000;2060000;210000;6410000;76;28;9;222;gamefreak;Game Freak;E
kingdomhearts;Kingdom Hearts;PS2;01/01/2002;Role-Playing;sonycomputerentertainment;Sony Computer Entertainment;3640000;1200000;1490000;70000;6400000;85;46;8.8;597;squaresoft;SquareSoft;E
pokmoncrystalversion;Pokémon Crystal Version;GB;01/01/2000;Role-Playing;nintendo;Nintendo;2550000;1560000;1290000;990000;6390000;;;;;;;
halo3odst;Halo 3: ODST;X360;01/01/2009;Shooter;microsoftgamestudios;Microsoft Game Studios;4340000;1340000;60000;610000;6340000;83;94;7.1;1163;bungiesoftwarebungie;Bungie Software, Bungie;M
reddeadredemption;Red Dead Redemption;X360;01/01/2010;Action;taketwointeractive;Take-Two Interactive;3700000;1950000;90000;580000;6320000;95;96;9;2316;rockstarsandiego;Rockstar San Diego;M
supermariosunshine;Super Mario Sunshine;GC;01/01/2002;Platform;nintendo;Nintendo;4010000;1260000;870000;170000;6310000;92;61;8.6;439;nintendo;Nintendo;E
streetfighteriitheworldwarrior;Street Fighter II: The World Warrior;SNES;01/01/1992;Fighting;capcom;Capcom;2470000;830000;2870000;120000;6300000;;;;;;;
worldofwarcraft;World of Warcraft;PC;01/01/2004;Role-Playing;activision;Activision;80000;6210000;0;0;6290000;93;57;7.3;2182;blizzardentertainment;Blizzard Entertainment;T
driver;Driver;PS;01/01/1999;Action;gtinteractive;GT Interactive;3110000;2800000;20000;330000;6270000;87;22;8.1;78;reflectionsinteractive;Reflections Interactive;T
gearsofwar3;Gears of War 3;X360;01/01/2011;Shooter;microsoftgamestudios;Microsoft Game Studios;4050000;1590000;70000;500000;6210000;91;96;7.8;1504;epicgames;Epic Games;M
kinectsports;Kinect Sports;X360;01/01/2010;Sports;microsoftgamestudios;Microsoft Game Studios;3920000;1730000;30000;510000;6190000;73;51;7.4;95;rareltd;Rare Ltd.;E10+
gearsofwar;Gears of War;X360;01/01/2006;Shooter;microsoftgamestudios;Microsoft Game Studios;3540000;1880000;70000;600000;6090000;94;88;8.3;2295;epicgames;Epic Games;M
fifa15;FIFA 15;PS4;01/01/2014;Sports;electronicarts;Electronic Arts;800000;4330000;50000;900000;6080000;82;47;5.7;988;easports;EA Sports;E
metalgearsolid2sonsofliberty;Metal Gear Solid 2: Sons of Liberty;PS2;01/01/2001;Action;konamidigitalentertainment;Konami Digital Entertainment;2450000;2010000;870000;720000;6050000;96;42;8.7;1026;kcej;KCEJ;M
sonicthehedgehog2;Sonic the Hedgehog 2;GEN;01/01/1992;Platform;sega;Sega;4470000;1200000;160000;190000;6030000;;;;;;;
metalgearsolid;Metal Gear Solid;PS;01/01/1998;Action;konamidigitalentertainment;Konami Digital Entertainment;3180000;1830000;780000;240000;6030000;94;20;9.4;918;kcej;KCEJ;M
metalgearsolid4gunsofthepatriots;Metal Gear Solid 4: Guns of the Patriots;PS3;01/01/2008;Action;konamidigitalentertainment;Konami Digital Entertainment;2630000;1710000;830000;820000;5990000;94;82;8.7;3558;kojimaproductions;Kojima Productions;M
finalfantasyxii;Final Fantasy XII;PS2;01/01/2006;Role-Playing;squareenix;Square Enix;1880000;0;2330000;1740000;5950000;92;64;7.6;972;squareenix;Square Enix;T
thelastofus;The Last of Us;PS3;01/01/2013;Action;sonycomputerentertainmenteurope;Sony Computer Entertainment Europe;2410000;2180000;280000;990000;5870000;95;98;9.1;8003;naughtydog;Naughty Dog;M
littlebigplanet;LittleBigPlanet;PS3;01/01/2008;Platform;sonycomputerentertainment;Sony Computer Entertainment;2800000;1980000;170000;870000;5820000;95;85;6.8;5311;scewwsmediamolecule;SCE/WWS, Media Molecule;E
residentevil2;Resident Evil 2;PS;01/01/1998;Action;virgininteractive;Virgin Interactive;1880000;1470000;2020000;450000;5820000;89;13;9.2;364;capcom;Capcom;M
